Max infection rate,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
3243.0,7.695,0.463,52.493,0.382,0.924
4789.0,9.52,0.697,68.999,0.785,0.901
2521.0,9.342,0.802,66.005,0.48,0.752
139853.0,9.962,0.898,69.0,0.828,0.834
4388.0,9.487,0.799,67.055,0.825,0.629
175271.0,10.796,0.94,73.9,0.914,0.442
64038.0,10.906,0.934,73.3,0.908,0.481
7779.0,9.569,0.836,65.656,0.814,0.506
8173.0,10.669,0.862,69.495,0.925,0.722
16230.0,8.454,0.693,64.8,0.877,0.682
11170.0,9.853,0.91,66.253,0.65,0.627
133480.0,10.823,0.906,72.199,0.783,0.646
2566.0,8.087,0.489,54.713,0.757,0.661
23611.0,9.046,0.81,63.901,0.875,0.839
5254.0,9.59,0.87,68.098,0.706,0.931
41576.0,9.782,0.784,59.269,0.824,0.801
287149.0,9.577,0.882,66.601,0.804,0.756
12399.0,10.016,0.931,67.0,0.788,0.932
1005.0,7.678,0.672,54.151,0.695,0.748
7083.0,8.541,0.779,59.302,0.876,0.66
4710.0,6.635,0.49,53.4,0.626,0.607
1130.0,8.36,0.765,62.0,0.959,0.843
9668.0,8.189,0.71,53.515,0.731,0.848
63678.0,10.776,0.926,73.8,0.915,0.415
596.0,7.364,0.619,48.478,0.579,0.807
41651.0,10.071,0.882,70.0,0.742,0.83
78859.0,9.673,0.811,69.593,0.904,0.755
35575.0,9.557,0.847,68.001,0.837,0.841
275.0,8.031,0.626,57.349,0.548,0.781
1188.0,8.117,0.636,58.221,0.695,0.745
55406.0,9.88,0.891,71.4,0.934,0.809
2858.0,8.551,0.644,50.114,0.741,0.794
11812.0,10.217,0.924,70.799,0.754,0.939
15386.0,10.576,0.802,73.898,0.763,0.844
67107.0,10.556,0.947,70.807,0.858,0.868
55709.0,10.933,0.954,72.7,0.946,0.179
7439.0,9.802,0.853,66.102,0.86,0.714
17670.0,9.313,0.821,68.8,0.842,0.843
5516.0,9.367,0.75,61.998,0.749,0.795
12677.0,9.054,0.762,66.402,0.888,0.688
8438.0,10.481,0.941,68.8,0.909,0.527
1642.0,9.065,0.77,50.833,0.647,0.708
5185.0,7.694,0.764,59.0,0.752,0.761
50889.0,10.775,0.954,72.0,0.949,0.186
503349.0,10.704,0.942,74.0,0.822,0.571
1871.0,9.603,0.776,59.962,0.731,0.84
587.0,7.686,0.69,55.16,0.697,0.746
26524.0,9.585,0.671,64.3,0.783,0.655
484345.0,10.873,0.903,72.5,0.875,0.46
2521.0,8.58,0.727,57.586,0.807,0.848
367629.0,10.279,0.823,72.6,0.582,0.823
9946.0,9.053,0.813,64.958,0.906,0.775
534.0,7.838,0.639,55.008,0.697,0.766
284.0,7.477,0.54,55.7,0.593,0.721
12890.0,8.648,0.812,67.3,0.857,0.809
45047.0,10.358,0.943,68.0,0.755,0.876
7408.0,10.878,0.983,73.0,0.955,0.673
414188.0,8.755,0.603,60.633,0.893,0.774
64718.0,9.365,0.811,62.236,0.873,0.867
50228.0,9.584,0.71,66.3,0.608,0.714
13515.0,9.24,0.746,60.583,0.63,0.875
43199.0,11.342,0.947,72.4,0.879,0.363
243295.0,10.575,0.939,73.503,0.8,0.753
229122.0,10.623,0.88,73.8,0.693,0.866
1968.0,9.186,0.877,67.5,0.89,0.884
260999.0,10.611,0.884,75.1,0.796,0.638
25502.0,9.182,0.767,67.0,0.755,0.705
66121.0,10.155,0.952,65.2,0.853,0.733
3749.0,8.361,0.688,60.704,0.779,0.825
621317.0,10.651,0.799,73.9,0.672,0.727
4397.0,9.318,0.821,63.813,0.869,0.917
6913.0,10.817,0.843,66.9,0.867,0.736
11505.0,8.538,0.893,64.401,0.935,0.908
3915.0,8.947,0.728,58.968,0.91,0.658
11992.0,10.315,0.927,67.1,0.715,0.8
10760.0,9.626,0.848,67.355,0.525,0.898
6925.0,7.926,0.787,48.7,0.715,0.915
447.0,7.288,0.72,56.498,0.735,0.85
5694.0,9.622,0.827,62.3,0.771,0.667
15412.0,10.499,0.935,67.906,0.773,0.826
5497.0,11.647,0.908,72.6,0.907,0.386
2295.0,7.396,0.686,59.305,0.552,0.803
1316.0,6.958,0.537,57.948,0.78,0.729
33406.0,10.238,0.817,67.102,0.895,0.839
2838.0,9.826,0.913,70.6,0.854,0.825
1217.0,7.744,0.724,51.969,0.697,0.827
1677.0,10.674,0.931,72.2,0.927,0.653
1211.0,8.542,0.795,57.161,0.561,0.731
30006.0,10.008,0.905,66.701,0.867,0.789
109895.0,9.859,0.831,68.597,0.862,0.799
10147.0,9.454,0.857,65.699,0.822,0.918
24556.0,9.4,0.935,62.5,0.708,0.856
2960.0,9.94,0.858,68.699,0.708,0.812
12039.0,8.903,0.56,66.208,0.774,0.801
4947.0,7.158,0.744,54.706,0.882,0.684
4210.0,9.161,0.818,56.799,0.719,0.847
10052.0,8.12,0.774,64.233,0.782,0.727
380498.0,10.932,0.942,72.4,0.913,0.338
42699.0,10.643,0.948,73.4,0.929,0.242
516.0,8.62,0.864,67.657,0.836,0.664
301.0,7.098,0.641,53.78,0.806,0.693
6158.0,8.533,0.74,50.102,0.737,0.878
2332.0,9.693,0.805,65.474,0.751,0.905
26109.0,11.053,0.954,73.3,0.96,0.27
12073.0,8.458,0.651,58.709,0.726,0.787
19722.0,10.35,0.896,69.652,0.872,0.856
59361.0,9.448,0.893,65.9,0.876,0.882
67101.0,9.458,0.832,68.25,0.822,0.891
38867.0,9.076,0.83,62.0,0.917,0.742
57659.0,10.382,0.898,69.702,0.841,0.735
77281.0,10.421,0.879,72.6,0.892,0.887
40018.0,10.284,0.832,67.355,0.845,0.938
202211.0,10.189,0.903,64.703,0.718,0.845
3072.0,7.676,0.552,61.4,0.897,0.167
5928.0,10.743,0.891,66.603,0.877,0.684
1722.0,8.118,0.71,59.802,0.695,0.801
36737.0,9.787,0.873,68.6,0.778,0.835
192.0,7.434,0.63,51.651,0.717,0.866
39252.0,11.488,0.915,76.953,0.927,0.082
33633.0,10.369,0.936,69.201,0.766,0.911
23332.0,10.529,0.948,71.4,0.949,0.806
37875.0,9.403,0.86,56.904,0.749,0.86
372766.0,10.571,0.932,74.7,0.761,0.745
11366.0,9.47,0.827,67.299,0.841,0.863
138985.0,10.867,0.934,72.7,0.945,0.237
89462.0,11.117,0.942,74.4,0.919,0.292
407.0,8.091,0.86,64.281,0.832,0.553
24307.0,7.876,0.702,57.999,0.833,0.577
47149.0,9.805,0.888,67.401,0.884,0.895
1002.0,7.362,0.569,54.914,0.619,0.772
27340.0,9.266,0.691,67.201,0.656,0.87
823225.0,10.24,0.822,67.199,0.576,0.776
1354505.0,11.023,0.92,68.2,0.837,0.698
21324.0,7.677,0.781,56.101,0.709,0.855
79325.0,9.436,0.888,64.902,0.724,0.924
4471.0,11.085,0.844,67.333,0.932,0.589
848169.0,10.707,0.934,72.5,0.859,0.459
13612.0,9.966,0.925,69.1,0.896,0.59
1478.0,8.836,0.918,65.255,0.97,0.515
4418.0,9.073,0.861,66.7,0.615,0.827
454212.0,8.973,0.85,68.034,0.94,0.796
30356.0,8.485,0.826,62.25,0.653,0.821
287.0,7.578,0.832,57.122,0.602,0.8
5555.0,8.145,0.708,55.809,0.782,0.823
9185.0,7.943,0.75,56.201,0.677,0.821
